Provider ID,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City,State,Score Percentile,Rank Percentile
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.2,3,18,27,Infections,DOTHAN,AL,0.7333333333333334,0.6666666666666666
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.0,3,31,57,Readmission & Death,DOTHAN,AL,0.6666666666666666,0.543859649122807
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.0,3,5,10,Payments,DOTHAN,AL,0.6666666666666666,0.5
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.3,3,14,22,Imaging,DOTHAN,AL,0.7666666666666666,0.6363636363636364
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.9,3,8,34,Consumer Satisfaction,DOTHAN,AL,0.6333333333333333,0.23529411764705882
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.8,5,39,91,Star Ratings,DOTHAN,AL,0.5599999999999999,0.42857142857142855
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.1,2,3,20,Structural,DOTHAN,AL,0.55,0.15
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.2,3,144,687,Timeliness,DOTHAN,AL,0.7333333333333334,0.2096069868995633
010001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.7,3,5,21,Complications,DOTHAN,AL,0.5666666666666667,0.23809523809523808
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.2,3,43,57,Readmission & Death,BOAZ,AL,0.7333333333333334,0.7543859649122807
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.0,3,9,21,Complications,BOAZ,AL,0.6666666666666666,0.42857142857142855
010005,MARSHALL MEDICAL CENTER SOUTH,35957,1.7,2,14,20,Structural,BOAZ,AL,0.85,0.7
010005,MARSHALL MEDICAL CENTER SOUTH,35957,4.2,5,75,91,Star Ratings,BOAZ,AL,0.8400000000000001,0.8241758241758241
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.0,3,5,10,Payments,BOAZ,AL,0.6666666666666666,0.5
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.1,3,18,34,Consumer Satisfaction,BOAZ,AL,0.7000000000000001,0.5294117647058824
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.3,3,217,687,Timeliness,BOAZ,AL,0.7666666666666666,0.3158660844250364
010005,MARSHALL MEDICAL CENTER SOUTH,35957,1.8,3,11,27,Infections,BOAZ,AL,0.6,0.4074074074074074
010005,MARSHALL MEDICAL CENTER SOUTH,35957,2.0,3,10,22,Imaging,BOAZ,AL,0.6666666666666666,0.45454545454545453
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,10,21,Complications,FLORENCE,AL,0.7000000000000001,0.47619047619047616
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,33,57,Readmission & Death,FLORENCE,AL,0.7000000000000001,0.5789473684210527
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.3,3,6,10,Payments,FLORENCE,AL,0.7666666666666666,0.6
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,18,34,Consumer Satisfaction,FLORENCE,AL,0.7000000000000001,0.5294117647058824
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,3.7,5,62,91,Star Ratings,FLORENCE,AL,0.74,0.6813186813186813
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,1.4,2,11,20,Structural,FLORENCE,AL,0.7,0.55
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.4,3,320,687,Timeliness,FLORENCE,AL,0.7999999999999999,0.4657933042212518
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.2,3,12,22,Imaging,FLORENCE,AL,0.7333333333333334,0.5454545454545454
010006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,1.7,3,9,27,Infections,FLORENCE,AL,0.5666666666666667,0.3333333333333333
010007,MIZELL MEMORIAL HOSPITAL,36467,3.0,3,10,10,Payments,OPP,AL,1.0,1.0
010007,MIZELL MEMORIAL HOSPITAL,36467,2.0,3,9,21,Complications,OPP,AL,0.6666666666666666,0.42857142857142855
010007,MIZELL MEMORIAL HOSPITAL,36467,2.0,3,15,27,Infections,OPP,AL,0.6666666666666666,0.5555555555555556
010007,MIZELL MEMORIAL HOSPITAL,36467,2.0,3,31,57,Readmission & Death,OPP,AL,0.6666666666666666,0.543859649122807
010007,MIZELL MEMORIAL HOSPITAL,36467,2.7,3,557,687,Timeliness,OPP,AL,0.9,0.8107714701601164
010007,MIZELL MEMORIAL HOSPITAL,36467,1.5,2,12,20,Structural,OPP,AL,0.75,0.6
010007,MIZELL MEMORIAL HOSPITAL,36467,2.0,3,13,34,Consumer Satisfaction,OPP,AL,0.6666666666666666,0.38235294117647056
010007,MIZELL MEMORIAL HOSPITAL,36467,2.3,3,14,22,Imaging,OPP,AL,0.7666666666666666,0.6363636363636364
010007,MIZELL MEMORIAL HOSPITAL,36467,2.6,5,34,91,Star Ratings,OPP,AL,0.52,0.37362637362637363
010008,CRENSHAW COMMUNITY HOSPITAL,36049,3.0,3,22,22,Imaging,LUVERNE,AL,1.0,1.0
010008,CRENSHAW COMMUNITY HOSPITAL,36049,2.0,3,9,21,Complications,LUVERNE,AL,0.6666666666666666,0.42857142857142855
